Total_Stops,Price,Dept_time_hrs,Dept_time_mins,Journey_Day,Journey_month,Journey_year,Arrival_time_hrs,Arrival_time_mins,duration_hours,duration_minutes,Arrival_Date_day,Arrival_Date_month,Arrival_Date_year,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,3897,22,20,24,3,2019,1,10,2,50,25,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7662,5,50,1,5,2019,13,15,7,25,1,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13882,9,25,9,6,2019,4,25,19,0,10,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6218,18,5,12,5,2019,23,30,5,25,12,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13302,16,50,1,3,2019,21,35,4,45,1,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3873,9,0,24,6,2019,11,25,2,25,24,6,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,11087,18,55,12,3,2019,10,25,15,30,13,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22270,8,0,1,3,2019,5,5,21,5,2,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,11087,8,55,12,3,2019,10,25,1,30,12,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8625,11,25,27,5,2019,19,15,7,50,27,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8907,9,45,1,6,2019,23,0,13,15,1,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4174,20,20,18,4,2019,22,55,2,35,18,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4667,11,40,24,6,2019,13,55,2,15,24,6,2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,9663,21,10,9,5,2019,9,20,12,10,10,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,17,15,24,4,2019,19,50,2,35,24,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14011,16,40,3,3,2019,19,15,2,35,3,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5830,8,45,15,4,2019,13,15,4,30,15,4,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,10262,14,0,12,6,2019,12,35,22,35,13,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13381,20,15,12,6,2019,19,15,23,0,13,6,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12898,16,0,27,5,2019,12,35,20,35,28,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,19495,14,10,6,3,2019,19,20,5,10,6,3,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6955,22,0,21,3,2019,13,20,15,20,22,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,4,0,3,4,2019,6,50,2,50,3,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4823,18,55,1,5,2019,21,50,2,55,1,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7757,18,55,6,5,2019,8,15,13,20,7,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13292,21,25,9,6,2019,12,35,15,10,10,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8238,21,50,1,6,2019,3,35,5,45,2,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7682,7,0,15,5,2019,12,55,5,55,15,5,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,9,45,18,6,2019,12,35,2,50,18,6,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3687,7,5,15,6,2019,9,20,2,15,15,6,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,3687,7,5,18,6,2019,9,20,2,15,18,6,2019,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,13227,9,50,1,5,2019,23,15,13,25,1,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4423,4,0,6,4,2019,6,50,2,50,6,4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,10919,14,35,15,6,2019,12,35,22,0,16,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12373,7,5,18,5,2019,12,35,5,30,18,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5894,10,35,27,6,2019,21,0,10,25,27,6,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,4649,15,5,21,5,2019,20,20,5,15,21,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,6245,14,15,18,5,2019,16,45,2,30,18,5,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,19225,7,0,6,3,2019,13,15,6,15,6,3,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14924,7,5,3,6,2019,19,0,11,55,3,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9646,7,5,21,5,2019,18,10,11,5,21,5,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8714,6,45,15,3,2019,15,15,8,30,15,3,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12373,20,55,18,5,2019,19,0,22,5,19,5,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
